INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5,Attribute,ID,SourceFile,Habitat
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180300_000.wav,5,08-12-24,0.752083000,18,08-12-24,0.252083000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,CLPIlCp+35LzEQQ6Lv9Vnw==,MANUAL ID.1,JURO,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180305_000.wav,5,08-12-24,0.752141000,18,08-12-24,0.252141000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,bJpi55gFY6Z9J0LxbbHOUQ==,MANUAL ID.1,JURO,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180430_000.wav,5,08-12-24,0.753125,18,08-12-24,0.253125,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,bby1l+N+eSpAFQXczsnvww==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180430_000.wav,5,08-12-24,0.753125,18,08-12-24,0.253125,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,bby1l+N+eSpAFQXczsnvww==,MANUAL ID.2,JURO,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180435_000.wav,5,08-12-24,0.75318300,18,08-12-24,0.25318300,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,uIx2CnJ4fKcQozRJ18qGyQ==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180440_000.wav,5,08-12-24,0.753241000,18,08-12-24,0.253241000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3WC5CYndZM1Lltd2ZY+M5w==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180440_000.wav,5,08-12-24,0.753241000,18,08-12-24,0.253241000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3WC5CYndZM1Lltd2ZY+M5w==,MANUAL ID.2,VMI1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180445_000.wav,5,08-12-24,0.753299000,18,08-12-24,0.253299000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,AfsVutLAiP8toCIKxydLWw==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180445_000.wav,5,08-12-24,0.753299000,18,08-12-24,0.253299000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,AfsVutLAiP8toCIKxydLWw==,MANUAL ID.2,VMI1,meta_MA1_1_edited.csv.xlsx,AG
D:\Madagascar\MA1 - Agriculture - RR3 - 12-Aug-24\MA1_1\wav,NA,20240812_180510_000.wav,5,08-12-24,0.753588000,18,08-12-24,0.253588000,6,NA,NA,AudioMoth,245AAA0563FA4639,AudioMoth-Firmware-Basic (1.10.1),NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,bcK/UIAR6KwGCjhXbi06iQ==,MANUAL ID.1,MO1,meta_MA1_1_edited.csv.xlsx,AG
